Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
17202-11712,RB,Joique,,Bell,0.600000024,1,4600,CHI@DET,DET,CHI,,
17202-28202,RB,Jeremy,,Langford,5.625,8,4600,CHI@DET,CHI,DET,,
17202-15006,RB,Shaun,,Draughn,4.929999924,10,4600,NYJ@SF,SF,NYJ,,
17202-29357,RB,Kenjon,,Barner,2.75,10,4600,WAS@PHI,PHI,WAS,,
17202-27411,RB,Aaron,,Ripkowski,3.412499905,8,4600,SEA@GB,GB,SEA,,
17202-27441,RB,Damien,,Williams,5.972726995,11,4600,ARI@MIA,MIA,ARI,,
17202-57348,RB,Glenn,,Winston,-2.799999952,1,4500,CIN@CLE,CLE,CIN,IR,Shoulder
17202-46088,RB,Jhurell,,Pressley,0,0,4500,ATL@LA,ATL,LA,,
17202-12305,RB,Will,,Tukuafu,0.066666668,3,4500,SEA@GB,SEA,GB,Q,Concussion
17202-29723,RB,Stepfan,,Taylor,0.600000024,2,4500,ARI@MIA,ARI,MIA,,
17202-14369,RB,Jordan,,Todman,1.111111111,9,4500,HOU@IND,IND,HOU,,
17202-26657,RB,Christian,,Powell,0,0,4500,PIT@BUF,PIT,BUF,,
17202-21547,RB,Will,,Johnson,2.260000038,5,4500,DAL@NYG,NYG,DAL,IR,Shoulder
17202-27692,RB,Josh,,Ferguson,2.55,10,4500,HOU@IND,IND,HOU,,
17202-28721,RB,Brandon,,Cottom,0,0,4500,SEA@GB,SEA,GB,IR,Achilles
17202-14406,RB,Bruce,,Miller,2.589999962,10,4500,NYJ@SF,SF,NYJ,,
17202-28744,RB,Raheem,,Mostert,-0.25,8,4500,NYJ@SF,SF,NYJ,,
17202-29768,RB,Patrick,,Skov,0,0,4500,CIN@CLE,CLE,CIN,,
17202-7244,RB,John,,Kuhn,4.520000076,10,4500,NO@TB,NO,TB,,
17202-62544,RB,Brandon,,Wegher,0,1,4500,SD@CAR,CAR,SD,,
17202-25694,RB,Andre,,Williams,2.181250095,16,4500,SD@CAR,SD,CAR,,
17202-24679,RB,Zac,,Brooks,0,0,4500,SEA@GB,SEA,GB,,
17202-24682,RB,Andre,,Ellington,1.591666698,12,4500,ARI@MIA,ARI,MIA,,
17202-29805,RB,Ryan,,Hewitt,1,1,4500,CIN@CLE,CIN,CLE,,
17202-31874,RB,Kenneth,,Farrow,1.128571442,7,4500,SD@CAR,SD,CAR,,
17202-28815,RB,Akeem,,Hunt,1.875,4,4500,HOU@IND,HOU,IND,,
17202-62616,RB,Zach,,Zenner,4.41428566,7,4500,CHI@DET,DET,CHI,,
17202-11419,RB,C.J.,,Spiller,2.633333365,6,4500,NYJ@SF,NYJ,SF,,
17202-62623,RB,John,,Crockett,1.049999952,2,4500,SEA@GB,GB,SEA,IR,Shoulder
17202-62631,RB,Gus,,Johnson,0,0,4500,ATL@LA,ATL,LA,,
17202-29866,RB,Paul,,Perkins,4.477777693,9,4500,DAL@NYG,NYG,DAL,,
17202-25783,RB,Mike,,James,2.033333302,3,4500,CHI@DET,DET,CHI,,
17202-33978,RB,Devon,,Johnson,0,0,4500,SD@CAR,CAR,SD,IR,Undisclosed
17202-11454,RB,Dexter,,McCluster,1.216666698,6,4500,SD@CAR,SD,CAR,O,Forearm
17202-28890,RB,Derek,,Watt,1.720000076,5,4500,SD@CAR,SD,CAR,,
17202-24797,RB,Juwan,,Thompson,3.299999952,2,4500,DEN@TEN,DEN,TEN,,
17202-22774,RB,Jonas,,Gray,4.100000109,7,4500,MIN@JAC,JAC,MIN,,
17202-30989,RB,Kenyan,,Drake,3.244444529,9,4500,ARI@MIA,MIA,ARI,,
17202-30990,RB,Jalston,,Fowler,1.899999976,1,4500,DEN@TEN,TEN,DEN,,
17202-29991,RB,Bishop,,Sankey,4.183333397,12,4500,MIN@JAC,MIN,JAC,,
17202-26934,RB,Toben,,Opurum,0,2,4500,DEN@TEN,DEN,TEN,,
17202-29003,RB,Ka'Deem,,Carey,2.255555471,9,4500,CHI@DET,CHI,DET,,
17202-14683,RB,Patrick,,DiMarco,1.942857197,7,4500,ATL@LA,ATL,LA,,
17202-28021,RB,Sione,,Houma,0,0,4500,NO@TB,NO,TB,,
17202-54651,RB,Dominique,,Williams,0,0,4500,NYJ@SF,NYJ,SF,,
17202-37245,RB,Fozzy,,Whittaker,4.083333333,12,4500,SD@CAR,CAR,SD,,
17202-38269,RB,Cameron,,Artis-Payne,9.333333333,3,4500,SD@CAR,CAR,SD,,
17202-28030,RB,Fitzgerald,,Toussaint,0.742857116,7,4500,PIT@BUF,PIT,BUF,,
17202-6566,RB,Chris,,Johnson,3.875,4,4500,ARI@MIA,ARI,MIA,IR,Groin
17202-22958,RB,Bobby,,Rainey,3.200000048,8,4500,DAL@NYG,NYG,DAL,,
17202-28088,RB,Denard,,Robinson,3.279999924,5,4500,MIN@JAC,JAC,MIN,Q,Ankle
17202-32185,RB,Zach,,Line,0.3,5,4500,MIN@JAC,MIN,JAC,,
17202-10695,RB,Darrel,,Young,0.688888868,9,4500,CHI@DET,CHI,DET,,
17202-26057,RB,Michael,,Burton,0,1,4500,CHI@DET,DET,CHI,,
17202-22991,RB,Jonathan,,Grimes,3.060000038,5,4500,HOU@IND,HOU,IND,,
17202-31184,RB,Jonathan,,Williams,1.966666698,6,4500,PIT@BUF,BUF,PIT,,
17202-25052,RB,Zach,,Laskey,0,0,4500,ATL@LA,LA,ATL,IR,Undisclosed
17202-26076,RB,Sam,,Bergen,0,0,4500,DEN@TEN,TEN,DEN,,
17202-21984,RB,Isaiah,,Pead,1.649999976,2,4500,ARI@MIA,MIA,ARI,,
17202-32234,RB,Malcolm,,Brown,1.5,4,4500,ATL@LA,LA,ATL,,
17202-43504,RB,Don,,Jackson,1.066666683,3,4500,SEA@GB,GB,SEA,IR,Knee
17202-6643,RB,Reggie,,Bush,2.575000048,8,4500,PIT@BUF,BUF,PIT,,
17202-22003,RB,Ronnie,,Hillman,2.260000038,5,4500,SD@CAR,SD,CAR,,
17202-45562,RB,Paul,,Lasike,0.320000005,5,4500,CHI@DET,CHI,DET,,
17202-6653,RB,Jerome,,Felton,0.644444466,9,4500,PIT@BUF,BUF,PIT,,
17202-22029,RB,Bernard,,Pierce,0.824999988,4,4500,NYJ@SF,NYJ,SF,,
17202-31261,RB,Tre,,Mason,3.269230769,13,4500,ATL@LA,LA,ATL,O,Personal
17202-39455,RB,Kerwynn,,Williams,3.46666654,6,4500,ARI@MIA,ARI,MIA,,
17202-22048,RB,Robert,,Turbin,4.581818321,11,4500,HOU@IND,IND,HOU,,
17202-30244,RB,Matt,,Jones,10.18571472,7,4500,WAS@PHI,WAS,PHI,,
17202-31269,RB,Corey,,Grant,1.366666635,6,4500,MIN@JAC,JAC,MIN,,
17202-7718,RB,Cedric,,Peerman,0,4,4500,CIN@CLE,CIN,CLE,,
17202-27199,RB,Marcus,,Murphy,0.400000006,2,4500,NO@TB,NO,TB,,
17202-6732,RB,DeAngelo,,Williams,9.742856707,7,4500,PIT@BUF,PIT,BUF,Q,Knee
17202-39512,RB,Kendall,,Gaskins,3.674999952,4,4500,NYJ@SF,SF,NYJ,,
17202-28249,RB,David,,Cobb,2.985714231,7,4500,CHI@DET,CHI,DET,,
17202-31321,RB,Jay,,Prosch,0.375,4,4500,HOU@IND,HOU,IND,,
17202-27229,RB,Ameer,,Abdullah,12.14999962,2,4500,CHI@DET,DET,CHI,IR,Foot
